"Title","Description","RDataPath","BiocVersion","Genome","Species","TaxonomyId","SourceType","SourceUrl","SourceVersion","DataProvider","SourceLastModifiedDate","DispatchClass","RDataDateAdded","RDataClass","Maintainer"
"Tabula-Muris-Senis-droplet-Kidney-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Kidney.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Kidney-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Kidney.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Large_Intestine-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Large_Intestine.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Large_Intestine-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Large_Intestine.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Large_Intestine-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Large_Intestine.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Limb_Muscle-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Limb_Muscle.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Limb_Muscle-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Limb_Muscle.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Limb_Muscle-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Limb_Muscle.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Liver-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Liver.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Liver-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Liver.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Liver-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Liver.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Lung-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Lung.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Lung-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Lung.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Lung-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Lung.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Mammary_Gland-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Mammary_Gland.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Mammary_Gland-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Mammary_Gland.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Mammary_Gland-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Mammary_Gland.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Marrow-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Marrow.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Marrow-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Marrow.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Marrow-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Marrow.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Pancreas-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Pancreas.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Pancreas-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Pancreas.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Pancreas-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Pancreas.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Skin-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Skin.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Skin-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Skin.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Skin-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Skin.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Spleen-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Spleen.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Spleen-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Spleen.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Spleen-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Spleen.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Thymus-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Thymus.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Thymus-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Thymus.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Thymus-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Thymus.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Tongue-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Tongue.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Tongue-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Tongue.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Tongue-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Tongue.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Trachea-counts","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Trachea.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Trachea-coldata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Trachea.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-droplet-Trachea-rowdata","Droplet-based (10x Genomics) single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-droplet/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-droplet-processed-official-annotations-Trachea.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-facs-Aorta-counts","FACS sorting - Smart-seq2 technology single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-facs/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-facs-processed-official-annotations-Aorta.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
"Tabula-Muris-Senis-facs-Aorta-coldata","FACS sorting - Smart-seq2 technology single-cell RNA-seq data from Tabula Muris Senis project 2020","scRNAseq/Tabula-Muris-Senis-facs/2.0.0","3.12","GRCm38","Mus musculus","10090","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","tabula-muris-senis-facs-processed-official-annotations-Aorta.h5ad","FigShare",2020-07-15 20:17:00,"Rds",2021-05-19 13:43:13,"dgCMatrix","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>"
