"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"He human organ atlas liver colData","Per-cell metadata for the liver subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Liver.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas lymph node counts","Count matrix for the lymph node subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Lymph.node.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas lymph node colData","Per-cell metadata for the lymph node subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Lymph.node.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas marrow counts","Count matrix for the marrow subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Marrow.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas marrow colData","Per-cell metadata for the marrow subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Marrow.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas muscle counts","Count matrix for the muscle subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Muscle.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas muscle colData","Per-cell metadata for the muscle subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Muscle.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas rectum counts","Count matrix for the rectum subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Rectum.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas rectum colData","Per-cell metadata for the rectum subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Rectum.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas skin counts","Count matrix for the skin subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Skin.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas skin colData","Per-cell metadata for the skin subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Skin.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas small intestine counts","Count matrix for the small intestine subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Small.intestine.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas small intestine colData","Per-cell metadata for the small intestine subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Small.intestine.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas spleen counts","Count matrix for the spleen subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Spleen.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas spleen colData","Per-cell metadata for the spleen subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Spleen.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas stomach counts","Count matrix for the stomach subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Stomach.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas stomach colData","Per-cell metadata for the stomach subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Stomach.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas trachea counts","Count matrix for the trachea subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/counts-Trachea.rds","3.13","hg38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159929","GSE159929_RAW.tar","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","dgCMatrix","Rds"
"He human organ atlas trachea colData","Per-cell metadata for the trachea subset of the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/coldata-Trachea.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt;B_and_plasma.meta.data.txt;CD4_meta.data.txt;CD8_meta.data.txt;Endothelial_cell.meta.data.txt;Epithelial_cells.meta.data.txt;FibSmo.meta.data.txt;Myeloid.meta.data.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DFrame","Rds"
"He human organ atlas reducedDims","Reduced dimensions for the He human organ atlas single-cell RNA-seq dataset","scRNAseq/he-organ-atlas/2.6.0/reddim.rds","3.13","hg38","TSV","https://github.com/bei-lab/scRNA-AHCA/tree/master/Cell_barcode_and_corresponding_cell_types_of_AHCA","Annotation_AHCA_alltissues_meta.data_84363_cell.txt","Homo sapiens","9606",NA,"GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","list","Rds"
